id,action,purpose,why,contact,url,agency,labeler
0155fdb660e1,Contact agency,reconsider,DOT says most city lighting is already upgraded to LED citywide.,,"https://www.nyc.gov/html/dot/html/infrastructure/streetlights.shtml#:~:text=NYC%20DOT%20maintains%20over%20315%2C000,lights%20with%20energy%2Defficient%20LEDs.",,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
0158a8fa81a6,Track with agency,status,HPD will continue using housing tools and subsidies in the district.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
015a2060b32c,Contact agency,study,Parks will explore/study potential WiFi deployment sites in the district.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
016c9cc53770,Contact agency,discuss,DCP has no discretionary funds; contact DCP Borough Office for more information.,DCP Borough Office,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
0173e72e3801,Contact elected officials,funding,DCLA recommends bringing this to Borough President or City Council for funding.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
017b518768e0,Contact agency,discuss,DOT asks board to contact the Borough Office to discuss funding a traffic study.,Borough Office,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
017cb8507071,Contact elected officials,funding,DCLA recommends bringing this project to a local elected official.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
019191928253,Contact elected officials,funding,BPL supports the project but says city funding support is necessary.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
0195446319e8,No follow-up needed,none,HPD says this request has already been completed via existing program.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
01963733851b,Track with agency,status,Street reconstruction is funded and currently in design under HWTRK1.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
019db27ae00c,Contact agency,discuss,DOT directs sidewalk/curb requests to the Borough Commissioner for site inspection.,Borough Commissioner,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
01a242309dc9,Track with agency,status,DOB says current training and funding already meet this request.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
01b0f6c2569b,Contact agency,study,DOHMH is piloting mobile vision care in 2025 and must study its effectiveness.,,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
01b80b84b8bd,Contact elected officials,funding,Parks supports rodent abatement staffing but lacks expense funding available.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
01bccbcc42ee,Contact agency,clarify,DOT needs specific location information from the board to clarify request.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
01c614a1cde8,Contact agency,discuss,BPL says partial funding exists; new funding needed for additional components.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
01d60968b452,Contact elected officials,funding,OMB recommends funding but availability of funds is uncertain.,,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
01d647daf365,Track with agency,status,DSNY heavy-duty equipment is already on its normal replacement cycle.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
01eca34ab83e,Track with agency,status,DOT will accommodate with existing resources as they become available.,,https://www.nyc.gov/html/dot/html/about/easternrockaways.shtml,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
01f3154127e6,Contact agency,study,DOHMH will review the request and follow up if resources allow.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
01f4a135c6a7,Contact elected officials,funding,Parks says funding is needed for restroom and skate park drainage reconstruction.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
01ffbe69a6c2,Contact agency,clarify,Project already funded and nearing completion; OMB says board should supply more detail.,,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
0203fa31987a,Contact agency,clarify,DOT says this is a duplicate request needing clarification.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
021954b24aec,Contact agency,clarify,DOT needs specific safety-concern locations from the board to clarify request.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
021a2b1c295f,Contact agency and elected officials,funding,DPR has no capital funds and asks board to discuss; OMB says resubmit for FY26.,Parks Department,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
022575a07d7b,Contact elected officials,funding,DYCD says expanding literacy/ESOL programs depends on available funding.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
02282462affb,Contact agency,reconsider,NYCHA project on hold in design phase due to unspecified constraints; resubmit.,,https://capitaltracker.nycha.info/projects/56/e22016,,"claude-sonnet, label_followup/rubric.md with the sharpened rules, 2026-09-25 (targeted relabel)"
023c8722ec95,Track with agency,status,Dean Playground is funded; community input meeting planned by fiscal year-end.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
023ec0ff91f5,Track with agency,status,Project is funded and currently underway addressing this request.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
0242bb67ab5b,Contact agency,discuss,DOHMH invites the board to contact them to request a walk-through inspection.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
0242de601697,Contact elected officials,funding,Parks agrees more funding needed for tree backlog but cannot commit funds now.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
024653482501,Contact elected officials,funding,DSNY supports but funding is uncertain due to fiscal constraints.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
02469cab0ae8,Contact agency,clarify,DCP doesn't understand the request; Manhattan Borough Office wants clarification.,Manhattan Borough Office,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
024de8bcbed9,Contact agency,reconsider,Parks says no space available for a dog run; grass surface impractical.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
024e339f3073,Track with agency,status,Battery Conservancy funded ShowBox repairs; completion scheduled for 2025 season.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
025406214cd1,Contact elected officials,funding,Project is in DEP's ten-year plan but funding availability is uncertain.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
0265a4f1e464,Contact elected officials,funding,DSNY supports but funding is uncertain due to fiscal constraints.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
02711ddb187c,Track with agency,status,Funding was maintained in FY25 but is not baselined; needs annual renewal.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
0277fa3d3130,Contact agency,study,DOT will submit lighting studies for these locations.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
028acbb359ae,Track with agency,status,DOHMH already operates North/Central Brooklyn health offices addressing this need.,,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
02903a68b02a,Track with agency,status,Cluster housing conversion is funded and underway via HRA-HPD collaboration.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
029fdeca26c6,No follow-up needed,none,DSNY says special waste site expansion request has already been completed.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
02a0c2708bf0,Track with agency,status,SBS can serve this need with existing Business Solutions Center and hotline.,SBS Hotline: (888) SBS-4NYC,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
02a6839cd6bc,Track with agency,status,OMB says each community board's budget is being maintained as of FY2025.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
02be1ca4097b,Contact agency,study,DOT will study feasibility of installing a protected bike lane instead.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
02c012ab0441,Contact agency,discuss,New traffic signal requests go to the Borough Commissioner for a warrant study.,NYCDOT Borough Commissioner,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
02cd0ba6ef67,Contact agency,clarify,DCP broadly supports but needs more information before deciding.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
02ce1a74da09,Track with agency,status,DOT will resurface this location in-house this season; funded via lump sum.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
02d363b19aea,Track with agency,status,OMB states capital funding was provided to implement this request.,,,,"claude-sonnet, label_followup/rubric.md with the sharpened rules, 2026-09-25 (targeted relabel)"
02db51df6e04,Contact agency,study,Aging will determine the need and seek funding; OMB says study needed.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
02dd55a7b9b9,Use 311 or another channel,channel,EDC points to NYC's funds finder program and Green Economy Action Plan for aid.,,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
02ee886d6672,Track with agency,status,HRA-HPD collaboration to convert cluster housing to permanent housing is underway.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
02eeda4a8b50,Use 311 or another channel,channel,OMB says this is not a budget request; NYCHA capital item is in departmental estimates.,,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
02f37d6688f4,Contact agency,clarify,MOCJ already funds Learning Lab at MFJC; wants board to submit data justifying more.,Mayor's Office of Criminal Justice,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
02f9b475e13f,Contact elected officials,funding,Parks says funding is needed; also coordinating with State DOT on drainage.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
03089a4a6bf0,Contact agency,clarify,DOT can accommodate if board provides specific roadways needing resurfacing.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
030c313ccadc,Track with agency,status,"HPD supports and can accommodate via HomeFix, J51, and Preservation Finance programs.",,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
03232a862add,Contact agency,redirect,DOHMH recommends contacting the Mayor's Office of Food Policy for follow-up.,,,Mayor's Office of Food Policy,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
032c4a3b47b2,Contact elected officials,funding,Parks lacks capital funding to install new lamp posts at Dean Playground.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
03424cc85d53,No follow-up needed,none,NYPL says work on this project has been completed or finished in FY2024.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
0346160d54d8,Contact elected officials,funding,Agency recommends funding but availability is uncertain; OMB cannot determine funding.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
0347ad14b47b,Track with agency,status,OMB says project was funded previously and design contract has been let.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
034e9f19f4d6,Contact elected officials,funding,Parks supports additional maintenance/recreation staff but lacks expense funding.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
0354327eb76a,Track with agency,status,Project was funded previously and is currently under construction.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
035545a36628,Contact agency,redirect,HRA defers this request to Housing Preservation and Development.,,,Housing Preservation & Development,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
035558fb3e4d,Track with agency,status,H+H Harlem is currently improving its physical plant and HVAC systems.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
0368b11616f5,Contact elected officials,funding,DCLA and OMB recommend bringing this to local elected officials for funding.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
0370c7b67534,Contact agency,reconsider,"DOT says the bridge is rated 'Fair' condition, not in the capital plan.",,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
037f1e89c50d,Contact agency,discuss,EDC says not feasible; OMB says contact the agency for more information.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
038b430bc5f5,Contact elected officials,funding,Parks lacks expense funding to hire additional Urban Park Rangers.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
03a6e6d1be2c,Use 311 or another channel,channel,DYCD siting goes through RFP process; sign up on DYCD's website for solicitations.,,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
03bdbf847ff7,Track with agency,status,HRA collaborates with HPD to ensure affordable units are available for clients.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
03debe554319,Track with agency,status,SBS Workforce1 already serves work-authorized new arrivals via existing centers.,intergov@sbs.nyc.gov,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
03e389eeb4d1,No follow-up needed,none,EDC says the Industrial Building is already completed and fully tenanted.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
03f2d7bf5f26,Contact elected officials,funding,NYCHA will work with elected officials to find funding for this project.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
03fd57b27566,Contact agency and elected officials,funding,Argus cameras funded via elected officials' allocations; give locations to precinct.,"local precinct commander, for submission to NYPD IT Bureau",,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
0419d20b3e1b,Contact agency,clarify,Parks needs more details and a specific location to clarify the request.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
041ad35aa578,Contact elected officials,funding,Not in Parks' master plan; OMB recommends bringing this to elected officials.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
0421bb63cb11,Track with agency,status,DCAS is awaiting OMB approval to search for a new site for the board.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
042e3a3ab0a5,Contact agency,discuss,DCAS found no suitable properties for relocation; contact agency directly.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
0436cafb0775,Contact agency,discuss,DSS invites boards and elected officials to submit proposed shelter site locations.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
043c2775d926,Contact agency,clarify,DCLA needs the request tied to one organization and a specific project.,,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
043d18f41b83,Track with agency,status,DOT will install bike lanes on W18th/22nd during the FY2026 resurfacing season.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
04593e8a9699,Contact elected officials,funding,Parks hopes FY27 budget funds additional Enforcement Patrol officers and Rangers.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
04706cc98a8b,Contact agency,discuss,DOHMH wants to discuss further its Ending the Epidemic outreach efforts.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
047085c45b73,Track with agency,status,SCA confirms the auditorium upgrade is already in scope of a project.,,,,"claude-sonnet, label_followup/rubric.md with the sharpened rules, 2026-09-25 (targeted relabel)"
04822cb1b548,Contact agency,study,H+H is assessing its master plan; any new annex would need further study.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
04848bdb5f0d,Contact agency,discuss,Parks will accommodate only part of this request within existing resources.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
048b4e8d0cd4,Contact agency,study,Agency says further study of this request is needed.,,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
049450f72190,Track with agency,status,NYCHA completed roof and weatherization projects at this development.,,https://capitaltracker.nycha.info/developments/,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
049698c946c5,Track with agency,status,HPD is committed to rehabilitating TIL buildings as affordable housing.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
049716a34837,Contact agency,reconsider,DOT inspected the intersection and determined no further signage is needed.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
04973a4b5b5a,Contact elected officials,funding,BPL supports and has identified unfunded capital improvements at these locations.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
049fb92d2d4c,Track with agency,status,Reconstruction is funded and in design; contact agency for status updates.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
04a248ce907b,Track with agency,status,Parks recreation centers already provide youth after-school activities.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
04b0eb1dfb78,Contact agency,redirect,Project is in design by EDC; OMB confirms another agency is addressing it.,,,Economic Development Corporation,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
04b4cb227d79,Contact elected officials,funding,Parks needs funding; two related capital projects already exist at this location.,,https://www.nycgovparks.org/planning-and-building/capital-project-tracker/project/1617111https://www.nycgovparks.org/planning-and-building/capital-project-tracker/project/7005,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
04c238b3cb64,Contact elected officials,funding,Parks agrees with the request but funding cannot be determined at this time.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
04c29b66ec22,Track with agency,status,SBS already funds commercial revitalization grants in this area.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
04ce6bf7193a,Track with agency,status,DOT will incorporate this into next year's milling/paving season.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
04da905bfdbc,Track with agency,status,Project was funded previously; design contract let and scope underway.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
04dcda178e42,Contact agency,redirect,DEP says this isn't in city budget jurisdiction; contact OMB's Community Board Unit.,OMB's Community Board Unit,,Office of Management & Budget,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
05003d5a727a,Track with agency,status,OMB says capital funding was provided despite NYPD's cited funding cuts.,,,,"claude-sonnet, label_followup/rubric.md with the sharpened rules, 2026-09-25 (targeted relabel)"
050f91088b75,Contact agency,redirect,DPR says this should be addressed to the Battery Park City Authority.,,,Battery Park City Authority,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
051ac6cbfe38,Track with agency,status,Parks project was funded previously and the scope is now underway.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
051b8c651bd9,Contact agency,redirect,EDC says request is already completed; SBS would be best to speak with further.,,,Small Business Services,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
052136f042ac,No follow-up needed,none,"Work on this project was completed in FY2019, per both responses.",,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
052df6325d63,Contact agency,clarify,DCP doesn't understand the request; Manhattan Borough Office wants more detail.,Manhattan Borough Office,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
053359c4853e,Contact agency,clarify,NYCHA needs more information from the board regarding funding needs.,,https://capitaltracker.nycha.info/developments/32,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
053e315d114a,Track with agency,status,Parks says staffing needs are already funded through the expense budget.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
0548c79404a3,Contact agency,study,311 Online offers many tools already; added functionality needs further DoITT study.,,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
05500e132371,Contact elected officials,funding,DOB will discuss budget needs with OMB; funding cannot be determined yet.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
055706c0da96,Track with agency,status,DSNY says project is funded in the ten-year plan; OMB's doubt is generic.,,,,"claude-sonnet, label_followup/rubric.md with the sharpened rules, 2026-09-25 (targeted relabel)"
055aab17cc25,Contact agency,clarify,EDC needs additional detail on the request before it can recommend.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
056d914a89db,Track with agency,status,Community board budgets have already been increased since FY2019.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
0572bc202c9d,Contact agency,reconsider,H+H says the Ridgewood Medical Center is not actually an H+H facility.,,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
05778342db06,Track with agency,status,This scope is part of an already-funded capital project (HWKNUAV).,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
0599f569a0a5,No follow-up needed,none,Parks says this request was already addressed via pollinator and learning gardens.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
059d16c62781,Contact elected officials,funding,Parks lacks capital funding for restrooms; advises advocating elected officials.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
05a56fe9eb35,Track with agency,status,DSNY will accommodate this request using existing resources.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
05b32cc90fb4,No follow-up needed,none,DHS says this request has already been completed via existing health connections.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
05b33ad98669,Contact agency,reconsider,DOT says this location is not city owned.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
05b6ba37b31b,Contact agency,redirect,"Cherry Walk is Parks' property; Parks is responsible for its maintenance, not DOT.",,,Department of Parks & Recreation,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
05c042feea60,Track with agency,status,DSNY will accommodate this issue within existing resources.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
05ce8392e075,Track with agency,status,Project is funded for construction and currently in design.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
05cf517e3f90,Contact agency,clarify,DCLA needs the request tied to one organization and a specific project.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
060723d214d7,Track with agency,status,DOB says budgeted resources are currently sufficient for its workload.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
060ecce047e9,Contact elected officials,funding,DOT requires funding plus a maintenance agreement with an org like a BID.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
06115b9a7db1,Contact agency,reconsider,NYPL says laptops don't meet the useful-life eligibility rule for capital funds.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
061fdaf29cb7,Contact agency,clarify,Parks needs more information on specific sites to clarify the request.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
06231f114b17,Contact agency,clarify,OMB says HPD needs additional information from the board on this request.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
06232b66b25d,Contact elected officials,funding,Parks agrees but funding is undetermined; hiring restrictions limit staffing.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
06257e1fc69b,Contact elected officials,funding,Parks supports new pickleball courts but lacks capital funding available.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
062748be5f7f,Contact elected officials,funding,Parks does not have capital funding allocated for this request.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
062df5bde6a1,Contact elected officials,funding,DOT says funding constraints preclude hiring additional personnel.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
0645a5992237,Contact agency,discuss,Parks has $2M of the $3M needed for phase 2; later phases unfunded.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
